GPU,eBay Price,QTY Sold,Month
Intel Arc A380,$114,5,August 2023
GeForce RTX 2080 Ti,$335,173,August 2023
GeForce RTX 2080 Super,$232,212,August 2023
GeForce RTX 2080,$206,104,August 2023
GeForce RTX 2070 Super,$189,191,August 2023
GeForce RTX 2070,$169,130,August 2023
GeForce RTX 2060 Super,$160,113,August 2023
GeForce RTX 2060,$138,345,August 2023
GeForce GTX 1660 Ti,$112,180,August 2023
GeForce GTX 1660 Super,$101,517,August 2023
GeForce GTX 1660,$88,83,August 2023
GeForce GTX 1650 Super,$93,96,August 2023
GeForce GTX 1650 GDDR6,$82,142,August 2023
GeForce GTX 1650,$102,98,August 2023
GeForce GTX 1630,$69,2,August 2023
Radeon RX 5700 XT,$133,574,August 2023
Radeon RX 5700,$119,111,August 2023
Radeon RX 5600 XT,$97,92,August 2023
Radeon RX 5500 XT 8GB,$91,36,August 2023
Radeon RX 5500 XT 4GB,$67,9,August 2023
GeForce RTX 3090,"$2,918",1295,December 2021
GeForce RTX 3080 Ti,"$1,992",1141,December 2021
GeForce RTX 3080,"$1,783",1495,December 2021
GeForce RTX 3070 Ti,"$1,244",1063,December 2021
GeForce RTX 3070,"$1,179",1891,December 2021
GeForce RTX 3060 Ti,"$1,007",2796,December 2021
GeForce RTX 3060 12GB,$761,2020,December 2021
Radeon RX 6900 XT,"$1,527",236,December 2021
Radeon RX 6800 XT,"$1,387",234,December 2021
Radeon RX 6800,"$1,282",90,December 2021
Radeon RX 6700 XT,$898,584,December 2021
Radeon RX 6600 XT,$659,282,December 2021
Radeon RX 6600,$578,346,December 2021
GeForce RTX 2080 Ti,"$1,186",339,December 2021
GeForce RTX 2080 Super,$849,166,December 2021
GeForce RTX 2080,$776,174,December 2021
GeForce RTX 2070 Super,$759,285,December 2021
GeForce RTX 2070,$686,195,December 2021
GeForce RTX 2060 Super,$705,192,December 2021
GeForce RTX 2060,$574,493,December 2021
GeForce GTX 1660 Ti,$500,353,December 2021
GeForce GTX 1660 Super,$540,903,December 2021
GeForce GTX 1660,$430,233,December 2021
GeForce GTX 1650 Super,$334,314,December 2021
GeForce GTX 1650,$318,490,December 2021
Radeon RX 5700 XT,$933,953,December 2021
Radeon RX 5700,$886,112,December 2021
Radeon RX 5600 XT,$626,173,December 2021
Radeon RX 5500 XT 8GB,$459,65,December 2021
Radeon RX 5500 XT 4GB,$340,35,December 2021
GeForce RTX 4090,"$2,194",655,December 2022
GeForce RTX 4080,"$1,374",176,December 2022
GeForce RTX 3090 Ti,"$1,182",180,December 2022
GeForce RTX 3090,$867,1273,December 2022
GeForce RTX 3080 Ti,$846,772,December 2022
GeForce RTX 3080 12GB,$810,107,December 2022
GeForce RTX 3080,$616,2000,December 2022
GeForce RTX 3070 Ti,$499,833,December 2022
GeForce RTX 3070,$397,2325,December 2022
GeForce RTX 3060 Ti,$332,2100,December 2022
GeForce RTX 3060,$285,1147,December 2022
GeForce RTX 3050,$237,99,December 2022
Radeon RX 7900 XTX,"$1,433",141,December 2022
Radeon RX 7900 XT,"$1,140",13,December 2022
Radeon RX 6950 XT,$726,26,December 2022
Radeon RX 6900 XT,$657,154,December 2022
Radeon RX 6800 XT,$531,461,December 2022
Radeon RX 6800,$441,183,December 2022
Radeon RX 6750 XT,$405,11,December 2022
Radeon RX 6700 XT,$318,854,December 2022
Radeon RX 6700 10GB,$323,2,December 2022
Radeon RX 6650 XT,$334,31,December 2022
Radeon RX 6600 XT,$219,582,December 2022
Radeon RX 6600,$184,460,December 2022
Radeon RX 6500 XT,$138,50,December 2022
Radeon RX 6400,$138,42,December 2022
Intel Arc A770 16GB,$384,16,December 2022
Intel Arc A770 8GB,$730,1,December 2022
Intel Arc A750,$254,8,December 2022
Intel Arc A380,$131,3,December 2022
GeForce RTX 2080 Ti,$398,403,December 2022
GeForce RTX 2080 Super,$282,209,December 2022
GeForce RTX 2080,$268,167,December 2022
